key,jp,vi
Choice/c98/text,僕も怜奈を気持ち良くできて嬉しいから。,Anh cũng vui vì làm em sướng.
Text/c99/text,は…はい…うぅ…,V-vâng... ư ư...
Text/c9a/text,ごめんなさい、おちんちんだけが好きな女みたいに見えてしまったかもって…,"Xin lỗi, em sợ trông như gái chỉ thích cặc..."
Text/c9b/text,本当はあなただから好きなのに…いつも隣にいてくれるから、当たり前に思ってしまっていたみたいです。,"Thực ra là vì anh... nhưng anh lúc nào cũng ở cạnh, nên em coi là hiển nhiên."
Text/c9c/text,あなたには頼りにしている人がたくさんいるはずですよね…舞さんとか、他の誰かとか…んん…,Chắc anh có nhiều người dựa dẫm... Mai-san hay ai khác... ưm...
Text/c9d/text,だから焦っていたのかもしれません。少しでも長く繋がっていたくて、ちゅっ…私の痕跡をたくさん残したくて…,"Nên em có thể đã nôn nóng. Muốn giữ anh lâu hơn một chút, chụt... muốn để lại nhiều dấu vết..."
Text/c9e/text,社会に出てからは…周りに流されるように適応して、なんだか自分の感情が鈍くなったと思っていたのに…ここに来てから…,Ra ngoài đời sống... cứ theo dòng mà thích nghi... tưởng cảm xúc mình tê liệt... nhưng tới đây...
Text/c9f/text,自分が思ったより嫉妬深い性格だったって気づきました…あなたに…この瞬間だけは…私だけを見てほしかったんです。,Em nhận ra mình ghen nhiều hơn tưởng... chỉ lúc này... anh hãy nhìn mỗi em.
Text/ca0/text,…恥ずかしくても、エッチな言葉を口にして…ちゅるっ…気持ちよくなってもらえるように頑張っていたら…,Mặc dù rất xấu hổ nhưng em vẫn buộc mình phải nói những điều bẩn thỉu đó... *cạch cạch*... em đã cố gắng rất nhiều để khiến anh cảm thấy dễ chịu...
Text/ca1/text,自分の感情を抑えきれなくて、こんな姿を…晒してしまいました。その…引いちゃいましたか…？,"Và em đã mất kiểm soát cảm xúc của chính mình, cuối cùng đã cho anh thấy khía cạnh đáng xấu hổ này... Có phải... là một lối rẽ...?"
Choice/ca2/text,全然そんなことないよ。,Không có gì đâu.
Choice/ca3/text,怜奈がそれだけ頑張ってくれたってことじゃないか。,Là Reina đã cố gắng vậy mà.
Choice/ca4/text,僕なんかのために…,Đối với một người như tôi...
Choice/ca5/text,僕は誰よりも怜奈が好きだから。,"Anh yêu em hơn bất cứ ai, Reina."
Text/ca6/text,あ…,À...
Choice/ca7/text,だからそんな事で、変な心配なんてしなくていいよ。,Nên không cần phải lo lắng.
Choice/ca8/text,自分を責めたりもしないで。,Cũng đừng tự trách.
Text/ca9/text,…,...
Text/caa/text,ふふっ…そうですね…そういえば。,"Hì hì... vậy ha... à, nói mới nhớ."
Text/cab/text,以前とは…逆だったような気がします。,Em cảm giác... tình cảnh bây giờ ngược lại hoàn toàn so với trước đây rồi.
Choice/cac/text,以前って？,Trước đây là?
Text/cad/text,はい、コニアルさんが言っていましたよね？この電車の情念によって、互いの体だけを求めるようになるって…,"Đúng, Konial luôn nói vậy phải không? Rằng Cuộc Khổ Nạn bên trong con tàu khiến người ta chỉ ham muốn thể xác của nhau..."
Text/cae/text,電車の外だったら…こんな関係は成り立たない…縁が続くはずが無いって…あの言葉をとても気にされていましたよね…？,Em biết anh rất để tâm tới câu nói... nếu ngoài tàu thì quan hệ này sẽ không thành... đúng không...?
Choice/caf/text,それは…,Tốt...
Text/cb0/text,でも…私は、その考えには同意しません。,Nhưng em không đồng ý với điều đó chút nào.
Text/cb1/text,電車じゃなくても、遠い未来だったとしても…結局は今みたいに出会えたって、私は信じています。,"Dù không phải tàu, dù xa xôi trong tương lai... cuối cùng rồi cũng gặp nhau như bây giờ, em tin thế."
Text/cb2/text,それに…45番電車に乗った今という瞬間は、別の未来なんかじゃないんです。私たちが経験している…目の前の現実そのものですから。,Và... thời điểm chúng em bước lên chuyến tàu 45 không phải là một tương lai khác. Đó là thực tế mà chúng ta đang trải qua... ngay bây giờ.
Text/cb3/text,起こってもいないことを想像して苦しむのは…私は嫌です。あなたが自分を責める姿も…見たくありません。,Tưởng tượng chuyện chưa xảy ra rồi đau khổ... em không muốn. Cũng không muốn thấy anh tự trách.
Choice/cb4/text,怜奈…,...
Text/cb5/text,ふふっ…ですから、自信を失う必要なんてないですよ。,Hì hì... nên không cần mất tự tin đâu.
Text/cb6/text,あっ…もしかしたら…これが励みになるかもしれませんね。,À... có lẽ điều này sẽ là động lực.
Text/cb7/text,怜奈が目の前の精液と愛液にまみれた肉棒に、ゆっくりと唇を近づける。,từ từ đưa môi tới con cặc đầy tinh dịch và nước dâm.
Text/cb8/text,射精後の敏感な亀頭を赤い唇が包み込み、怜奈の舌が先端をぺろりと舐め上げる。,"Môi đỏ bao lấy quy đầu nhạy cảm sau khi bắn tinh, lưỡi Reina liếm lên đầu."
Text/cb9/text,たくさん汚れてしまったおちんちん…私の口で…ちゅっ…お掃除してあげますね…んっ…隅々まで…,Cặc của anh bẩn hết rồi... Để em lau nó... bằng miệng em... *sụt sịt*... từng centimet của nó...
Text/cba/text,これは…私が気持ちよくなるためとか、性欲を解消するためじゃありません…ちゅぷ…はぁ…,Đây không phải để em sướng hay giải tỏa dục vọng... chụp... haa...
Text/cbb/text,今までたくさん苦労してきた…あなたへの…んんっ…私からの心を込めたお返し…ぺろっ…ちゅ…,Là sự đáp trả bằng cả tấm lòng của em dành cho... anh sau bao vất vả... liếm... chụt...
Text/cbc/text,ただご奉仕するためだけの…お掃除フェラ…私の舌で…あなたのおちんちん、綺麗にしてあげます…ね…,Một cú thổi sạch... hoàn toàn là để phục vụ anh... Bằng lưỡi của em... em sẽ làm cho cặc của anh... không tì vết.
Text/cbd/text,あなたはただ楽にして…力を抜いて…んっ…私に、全部任せてください…はぁ…本当にお疲れ様でした…ちゅぷ…れろっ…,Hãy thư giãn đi... trút bỏ mọi căng thẳng và giao mọi việc cho anh... Em đã vất vả nhiều rồi... *hút*... *nuốt nước miếng*...
Text/cbe/text,亀頭の段差も…こうやって…丁寧に…ゆっくり…ちゅぷ…んん…,Cả rãnh quy đầu... cũng thế này... tỉ mỉ... từ từ... chụp... ừm...
Text/cbf/text,私の気持ちが伝わるまで…たくさん…たくさん…堪能してくださいね…,Cho đến khi anh hiểu được cảm giác thực sự của em... làm ơn... hãy thưởng thức món này nhiều như anh muốn...
Text/cc0/text,んん…ちゅう…んん…ここも…汚れがいっぱい…,Mmm... *bụt*... Nnh... Ở đây còn nhiều thứ phải dọn lắm...
Text/cc1/text,今だけは…私を、おちんちんお掃除用の道具だと思って…乱暴に使っても構いませんよ…？,Hiện tại... hãy coi em như một công cụ để làm sạch cặc của anh... Anh có thể sử dụng em một cách thô bạo tùy thích.
Text/cc2/text,お口だけじゃなくて、はぁ…私の柔らかい体…どこでも…撫でたり…揉んだりしてください…んっ…ひぅっ,"Không chỉ miệng, haa... mà thân thể mềm mại của em... chỗ nào cũng được... vuốt ve... mân mê... ưm... hư ư..."
Text/cc3/text,私はこれからも…あなただけのものですから…絶対に忘れませんからね…,Em từ giờ... chỉ thuộc về anh... nhất định không quên...
Text/cc4/text,ちゅるっ…ちゅう…んっ…,Chụt... chụt... ưm...
Text/cc5/text,ぷはっ…はぁ…ふふ…また大きくなってますね…丁寧にお掃除していただけなのに…ちゃんと、気持ちよくなっていただけましたか…？,Phụt haa... haa... hì hì... lại to lên rồi... chỉ định dọn dẹp sạch sẽ thôi mà... anh sướng tới vậy sao...?
Text/cc6/text,はぁ…ふふっ…とても嬉しいです…んん…はい。いくらでも…,Haa... hì hì... em vui lắm... ưm... vâng. Bao nhiêu cũng được...
Text/cc7/text,何度でも…勃っていただいて構いませんよ。その度に…私の口で…たくさん抜いてさし上げますから…,"Hãy cứng rắn bao nhiêu lần tùy thích. Mỗi lần như vậy, em sẽ uống hết... bằng miệng."
Text/cc8/text,んぐっ…お口いっぱいに…熱くて…濃い精液…,Ừm... đầy miệng... tinh trùng nóng... đậm đặc...
Text/cc9/text,あ…見てください…こうやって…ごくっ…,Ah... Nhìn này... Nó dày và đầy đặn quá...
Text/cca/text,(こくん…)はぁ…はい、美味しかったです…お掃除されながらも…こんなにたっぷり…出してくださるなんて…,"*nuốt ực*... Phù... Dạ vâng, ngon lắm ạ... Vừa được dọn dẹp cho anh... mà anh lại bắn ra nhiều thế này..."
Text/ccb/text,嬉しすぎて…はぁ…全部飲み込まずには…いられませんでした…ふふっ…,Vui quá... haa... không thể không nuốt hết... hì hì...
Text/ccc/text,私は…あなたのすべてが大好きなんですから…だから、ご自分を責めたりしないでくださいね…？,Em yêu tất cả con người anh... nên đừng tự trách mình nhé...?
Text/ccd/text,それに私も…焦らないようにしますから。あなたが…いつも私のことを思い出してくれるように…頑張りますね。,Và em... em cũng sẽ không vội vàng. Anh sẽ cố gắng hết sức... để em sẽ nhớ đến anh đến hết cuộc đời.
Text/cce/text,電車の中でも、外のどこにいても…あなたのこと、絶対に忘れません…,Trong tàu hay ngoài kia... em nhất định không quên anh...
Text/1829/text,…,...
Text/182a/text,…！,...!
Text/182b/text,み、見つけましたっ！,"em, em đã tìm thấy nó!"
Text/182c/text,これ、異変ですよね？,Đây là một điều bất thường phải không?
Choice/182d/text,うん、そうだね。気づかないで通り過ぎるところだった。,"Ừ, đúng rồi. Suýt đi qua mà không để ý."
Text/182e/text,やったぁ！私が自分で見つけられた…！,Hoan hô! em đã tự mình tìm ra tất cả...!
Text/182f/text,今までずっと、あなたが見つけてくれていたのに…今回は！,"Anh luôn là người tìm thấy chúng, nhưng lần này...!"
Text/1830/text,嬉しそうにぴょんぴょん跳ねる怜奈を見つめる。,Tôi nhìn Reina nảy lên vì phấn khích.
Choice/1831/text,そんなに嬉しい？自分で異変を見つけたのが。,Vui đến thế sao? Chỉ vì tự mình tìm thấy dị biến thôi á?
Text/1832/text,は、はい！もちろんですよ。この電車で私たちがやるべきことって、それだけじゃないですか？,V-vâng! Dĩ nhiên! Việc tụi mình cần làm trên tàu này là đấy chứ còn gì?
Text/1833/text,そこで少しでもお役に立てたのが……本当に嬉しいんです！うふふっ…,Có thể giúp được một chút... em vui biết bao! Hì hì hì...
Text/1834/text,この電車の中で一緒にいてくれる、それだけで大きな支えになっているのに…,Chỉ cần được ở bên nhau trên chuyến tàu này đã là một điều thoải mái biết bao...
Text/1835/text,怜奈にとっては、それだけでは物足りなかったのかもしれない。もっとちゃんと伝えるべきだったのかな？,Có lẽ điều đó là chưa đủ với Reina. Tôi có nên biểu cảm hơn không?
Text/1836/text,そんな考えに耽っていると、怜奈は僕に向かって両腕を広げた。,Đang mải nghĩ thì Reina giang hai tay về phía tôi.
Choice/1837/text,……？,...?
Text/1838/text,…,...
Text/1839/text,あの、褒めてくださらないんですか……？,"Ơ, anh không khen em ạ...?"
Text/183a/text,彼女は頬を膨らませながら、照れくさそうに腕を広げて立っている。,"Cô ấy phồng má, ngượng ngùng giang tay đứng."
Text/183b/text,…これでも私なりに、精一杯おねだりしてるんですよ。だから…,...Em đã hết sức nũng nịu rồi đấy. Nên...
Text/183c/text,こっちに来て、抱きしめてください。ぎゅーって…,Hãy đến đây và ôm em. Đẹp và chặt chẽ.
Text/183d/text,受け身だった怜奈がこんな要求までしてくるなんて…でも、彼女の言う通り、きっと勇気を出しての事なんだろう。,"thụ động đã đòi hỏi thế này... nhưng cô ấy nói đúng, chắc đã can đảm lắm."
Text/183e/text,僕は彼女に歩み寄り、抱きしめる。これまでしてきたことに比べれば、ずいぶん控えめなスキンシップだけど…,"Tôi tiến lại ôm cô ấy. So với những gì đã làm, tiếp xúc này khá nhẹ nhàng..."
Text/183f/text,…,...
Text/1840/text,彼女は僕の胸に顔を埋める。今さら恥ずかしくなったのかな？心臓の鼓動が伝わるほどドキドキしてる。,Cô ấy vùi mặt vào ngực tôi. Giờ mới ngượng à? Tim đập dữ vậy.
Text/1841/text,何度も探索してきて、今回やっと一つ異変を見つけただけなのに…,"Bao lần thám hiểm, lần này mới tìm được một dị biến..."
Text/1842/text,それくらいで甘えるなんて、情けないですよね…？,em cho rằng yêu cầu nhiều sự chú ý như thế này là khá trẻ con phải không?
Choice/1843/text,まあ、それは確かに…,Chắc chắn.
Text/1844/text,うっ！も、もういいですっ。,Ờ! Được rồi.
Text/1845/text,あなたは息をするように簡単に見つけちゃうから分からないでしょうけど…私にとってはすごく大きなことなんですよ…！,Anh dễ dàng tìm ra nên không biết... với em là việc lớn lắm...!
Text/1846/text,だ、だから…少しは……お役に立てましたよね？,V-vậy nên... em có giúp được chút ít... đúng không?
Choice/1847/text,怜奈はいつも僕を助けてくれてるよ。,lúc nào cũng giúp anh mà.
Choice/1848/text,異常の探知だけじゃなくてもね。,Không chỉ với khả năng phát hiện sự bất thường.
Text/1849/text,僕は彼女の背中に触れていた手を、お尻へと滑らせ、ぴんと張ったスカート越しにお尻を掴んだ。,"Tay tôi đang chạm lưng trượt xuống mông, nắm qua váy căng."
Text/184a/text,片手では掴みきれないほど豊満な柔肉がびくんと震える。,Thịt mềm đầy đặn nắm không hết run lên.
Text/184b/text,ひゃっ！…もう……エッチなんですから。,Chà!... Trời... hư hỏng thật đấy.
Text/184c/text,驚いた顔で僕を見上げた瞳は、やがて三日月を描くように微笑みへと変わる。,"Mắt ngước nhìn tôi ngạc nhiên, rồi cong thành trăng lưỡi liềm mỉm cười."
Choice/184d/text,探索を頑張れるのも。,Lý do tôi có thể làm việc chăm chỉ trong việc khám phá...
Choice/184e/text,終わった後に怜奈といっぱいエッチなことできるからだよ。,"...là bởi vì anh biết anh sẽ làm đủ trò nghịch ngợm với em, Reina, một khi chuyện đó kết thúc."
Text/184f/text,なんですか、それ…そんなの…,Điều đó có nghĩa là gì... Nói những điều như vậy.
Text/1850/text,怜奈はお尻を掴んでいた僕の手を取り、きっぱりと引き離す。そして…,"nắm tay tôi đang giữ mông, kiên quyết kéo ra. Và..."
Text/1851/text,…あなたとするエッチ。私もすごく…楽しみにしてるんですよ…？,...Chuyện hư hỏng với anh... em cũng rất mong chờ... đấy...?
Text/1852/text,掴んだ手をそのまま、自分のパンティの中へと導いた…,Cô ấy hướng tay tôi thẳng vào quần lót của cô ấy.
Text/1853/text,んっ…触ってみてください…こんなに濡れてるんですよ。,Ừm... hãy chạm thử xem... ướt thế này đây.
Text/1854/text,パンティ越しにもわかるほど、彼女のおまんこからは愛液が滾々と溢れていた。,"Cả qua quần lót cũng thấy, nước dâm từ lồn cô ấy trào ra."
Text/1855/text,あなたの…おちんちんを受け入れる準備…さっきからできてました…,em đã sẵn sàng đưa cặc của anh vào trong em được một lúc rồi...
Text/1856/text,終点に近づくにつれて、あなたとのセックスが…楽しみすぎて、濡れ始めちゃうんですよ…,"Càng gần đến cuối, em càng bắt đầu ướt... chỉ nghĩ đến việc làm tình với anh."
Text/1857/text,少しでも早く探索を終わらせたかったから…私が異変を見つけられたのが、余計に嬉しく感じたんです。,Vì muốn kết thúc thám hiểm sớm... nên em mới vui vì tự tìm ra dị biến.
Text/1858/text,怜奈は震える息を吐きながら、ズボン越しに膨らんだ僕の股間を撫で上げ、揉みしだく。,"thở run rẩy, vuốt ve và mân mê hạ bộ căng phồng qua quần."
Text/1859/text,このおちんちんが…見たくて…欲しくて…どれだけ私が焦がれてたか、分かりますか…？,em muốn nhìn thấy con cặc này vô cùng... Anh có biết em đã khao khát nó đến mức nào không...?
Text/185a/text,早く…いっぱいしこしこして…お口の奥深くまで咥えて…しゃぶって…おまんこに挿れてほしいって…分からないですよね…？,Mau... cọ đi... ngậm sâu tới tận họng... bú... đưa vào lồn... anh chẳng hiểu đâu nhỉ...?
Text/185b/text,あなたのおちんちんのことを考えながら…オナニーするだけじゃ…足りないんです…,Thủ dâm trong khi nghĩ về cặc của anh thôi là chưa đủ nữa...
Text/185c/text,そう言って、隙間なく体を密着させてくる。彼女の下腹部が股間に触れると、そのまま上下に擦りつけてきた。,"Nói thế, cô ấy áp sát cơ thể mình vào người tôi. Bụng dưới của cô ấy chạm vào háng tôi và cô ấy bắt đầu co rúm lên xuống."
Text/185d/text,ここ…私の子宮まで届かせてくれるのは……あなただけですから。,Anh là người duy nhất có thể chạm tới tận bụng em.
Text/185e/text,今回も…いっぱい気持ちよくして…くれますよね？,Lần này cậu sẽ đập em thật mạnh và thật mạnh lần nữa... phải không?
Text/185f/text,怜奈が僕に擦り付けるように身体をくねらせるたび、甘く淫らな匂いが鼻をつく。,"Mỗi lần Reina quằn quại trên cơ thể tôi như thể cô ấy đang thủ dâm với cơ thể tôi, mùi hương ngọt ngào, dâm đãng đó lại tràn vào mũi tôi."
Text/1860/text,貞淑で恥ずかしがり屋だった彼女は、いつの間にか、僕をこんなにも愛してくれるメスになっていた…,Cô gái đoan trang hổ thẹn đã trở thành con mái yêu tôi say đắm.
Text/1861/text,我慢してきたのは怜奈だけじゃないよ。僕だって…,Nhưng Reina không phải là người duy nhất chần chừ. Tôi đã quá...
Text/1862/text,ひゃっ…？！,Hả..?!
Text/1863/text,彼女を抱き寄せ、そのまま座席に押し倒す。抵抗なく座席に座らされた怜奈に覆いかぶさり、シャツを勢いよくはだけさせた。,"Tôi kéo cô ấy vào lòng, ấn xuống ghế. Đè lên Reina ngồi không kháng cự, vạt áo nhanh chóng bị xé toang."
Text/1864/text,あっ…んむっ…！,Á... ưm...!
Text/1865/text,慌てる怜奈が何か言う間もなく唇を奪い、舌をねじ込む。すると怜奈はすぐに激しく応え、舌が絡み合う淫靡な音が響いた。,"Trước khi Reina kịp nói lời nào, tôi đã áp môi mình vào môi cô ấy và đẩy lưỡi mình vào trong. Cô ấy đáp lại một cách quyết liệt, lưỡi của chúng tôi quấn lấy nhau với những âm thanh tục tĩu, ướt át."
Text/1866/text,んんっ、ちゅぅ…ちゅるるっ…,"Ừm, chụt... chụt..."
Text/1867/text,キスに夢中になりながらも、互いの服を手慣れた様子で脱がせていく。張り裂けそうなちんぽが解放されると、彼女は待ってましたとばかりに僕の上に跨ってきた。,"Vừa mê mải hôn, vừa thành thạo cởi đồ nhau. Con cặc căng tức được giải phóng, cô ấy lập tức trèo lên tôi."
Text/1868/text,ふぅっ…はぁ…,Hừ... haa...
Text/1869/text,脚を大きく開いて僕の上に跨った怜奈は、僕のちんぽをじっと見つめている。,"Quấn tôi với đôi chân dang rộng, Reina chỉ nhìn chằm chằm vào cặc tôi."
Text/186a/text,僕は後ろからでも見えるほど大きな怜奈のおっぱいを掴んだ。,"Tôi với tay xung quanh và nắm lấy bộ ngực khổng lồ của Reina, thậm chí có thể nhìn thấy được từ phía sau."
Text/186b/text,はぁんっ…,Hư ưn...
Text/186c/text,言葉にできないほど柔らかな感触と重みを堪能する。指を動かすたびに、柔らかな肉がたぷんと揺れた。,"Tận hưởng cảm giác mềm mại và trọng lượng khó tả. Mỗi cử động ngón tay, thịt mềm rung rinh."
Text/186d/text,んあぁっ…触り方、エッチですぅ…,Hnaaah... Cách anh chạm vào em bẩn thỉu quá...
Text/186e/text,肉棒はさらに硬くそそり立ち、目の前の彼女のおまんこに触れる。,"Con cặc của tôi thậm chí còn phát triển mạnh hơn, căng lên cho đến khi nó chạm vào âm hộ lộ ra hoàn toàn của cô ấy."
Text/186f/text,んぅっ…！おちんちん…すごく熱いです…先っちょが、当たって…,À! Trục của anh... nóng quá... từng chút một chạm vào em...
Text/1870/text,彼女はびくっと身体を震わせながらも逃げず、むしろ勃起したそれの上に自分の体重を預けてきた。,"Cô ấy giật mình nhưng không trốn, còn dồn trọng lượng lên con cặc đang cương."
Text/1871/text,柔らかなおまんこの肉がぐにっと押し拡げられ、ちんぽを包み込む。そのまま力を込めると、彼女のクリトリスが擦りつけられた。,"Đôi môi âm hộ mềm mại của cô ấy ấn chặt xuống, bao bọc lấy trục của tôi. Khi tôi uốn cong con cặc của mình, nó cọ sát vào âm vật của cô ấy."
Text/1872/text,あぁんっ…！こ、これ…気持ちいいです…クリが刺激されてぇ…,A ưn...! C-cái này... sướng... clit được kích thích...
Text/1873/text,怜奈は体を固定されたまま腰を前後に動かし、クリトリスをちんぽに擦りつける。,"bị giữ chặt vẫn cử động hông tới lui, cọ âm vật vào cặc."
Text/1874/text,ぬちゅっ…くちゅっ…,Bẹp... bẹp...
Text/1875/text,んんっ…はぁ…ぁんっ…熱いです…乳首も…もっと触ってください…,Ừm... haa... ưn... nóng quá... núm vú cũng... chạm thêm đi...
Text/1876/text,彼女が望むままに手をおっぱいの頂きへ移し、ピンク色に硬くなった乳首を転がした。,"Đưa cho cô ấy những gì cô ấy muốn, tôi di chuyển bàn tay của mình đến đỉnh ngực của cô ấy và lăn núm vú hồng cứng của cô ấy giữa các ngón tay của tôi."
Text/1877/text,ひゃぁあっ…！,Chà a...!
Text/1878/text,刺激に反応して腰がくの字に反ると、怜奈のおまんこから粘ついた愛液が噴き出し、ちんぽを濡らす。,"Hông cong chữ C vì kích thích, nước dâm nhầy nhụa từ lồn Reina phun ra, làm ướt cặc."
Text/1879/text,ふぅ…ふぅ…こんなに濡れちゃいました…見えてますか…？私のおまんこの下から、あなたの亀頭がちょこんと覗いてて…,Hahh... hahh... em ướt thế này rồi... Anh thấy không? Quy đầu của anh đang ló ra từ dưới âm hộ của em...
Text/187a/text,…このまま入れたら…きっと、気持ちいいですよ…んぁっ…,...Cứ thế đưa vào... chắc sướng lắm... ư ư...
Text/187b/text,そう言いながら、怜奈はそっと身体を持ち上げる。彼女の下に押さえつけられていたちんぽもゆっくりと持ち上がり、天井を向いた。,"Nói vậy, Reina hơi nhấc người lên. Con cặc của tôi, được ghim bên dưới cô ấy, từ từ nâng lên hướng lên trần nhà."
Text/187c/text,このまま…ゆっくり…,Cứ thế... từ từ...
Text/187d/text,彼女の膣穴が亀頭の先端に押し付けられ、息を呑んだ。,"Lỗ âm đạo của cô ấy áp vào quy đầu, nín thở."
Text/187e/text,ずぶぅうっ……！,Soẹt...!
Text/187f/text,怜奈のおまんこが開いていく。たっぷり濡れた膣の中は、抵抗なくちんぽを飲み込んだ。,"Âm hộ của Reina mở rộng ra, nuốt chửng tôi từ quy đầu trở xuống. Những bức tường ướt đẫm của cô ấy không có chút kháng cự nào, hút thẳng con cặc của tôi vào."
Text/1880/text,はぁ…あぁんっ…全部…全部入りましたぁ…っ…！,Haa... a ưn... hết... hết cả rồi...!
Text/1881/text,怜奈の重みで根元まで呑み込まれたちんぽは、まるで最初から一つだったかのようにぴったりと密着してそこに収まっている。,"Chìm dưới sức nặng của Reina, con cặc của tôi bị chôn vùi tận gốc - dính chặt với nhau như thể chúng tôi luôn là một."
Text/1882/text,狭く熱い膣壁がうねりながら、亀頭から竿まで余す所なく刺激してくる。動かなくても、すさまじい刺激が伝わってくるが…,"Âm hộ chật hẹp, nóng bỏng của cô ấy gợn sóng và siết chặt, trêu chọc từng inch trên trục của tôi. Chỉ cần nằm yên như thế này đã truyền đến tôi những làn sóng khoái cảm tràn ngập…"
Text/1883/text,じゃあ、動きますね…あなたはおちんちんに意識を集中して…楽にしていてください…,Vậy em động nhé... anh tập trung vào cặc đi... cứ thoải mái...
Text/1884/text,怜奈はその状態から、懸命に身体を持ち上げる。しっかりと咥え込んでいたちんぽが引き抜かれ、膣壁を擦り上げると、彼女はより大きな喘ぎ声を漏らす。,"gắng sức nâng hông lên. Khi con cặc của tôi bị kẹp quá chặt, trượt ra ngoài và cào dọc theo thành trong của cô ấy, cô ấy còn rên rỉ lớn hơn nữa."
Text/1885/text,ひぅうっ…！あぁんっ！,Hư ư...! A ưn!
Text/1886/text,半分ほど抜けたとき、亀頭が彼女の弱い場所を突く。反射的にびくっと身を震わせ、そのまま腰を落とした。,"Khi rút ra nửa chừng, quy đầu chạm điểm yếu của cô ấy. Giật mình rồi ngồi xuống."
Text/1887/text,ずちゅんっ！,*TẢI!*
Text/1888/text,重力に従って、彼女のお尻が僕の太ももにぶつかり、ぷるんと揺れる。,"Mông cô ấy đập vào đùi tôi vì trọng lực, rung rinh."
Text/1889/text,ひゃあぁんっ！…い、今…一番奥まで…っ…届きましたぁ…はぁっ。,Chà a ưn!... V-vừa nãy... tới tận trong cùng... chạm tới... haa.
Text/188a/text,彼女は再び身体を持ち上げては落とすを繰り返す。次第にリズムが生まれ、連続で腰を動かし始める。,"Cô ấy nhấc người lên hạ xuống. Dần có nhịp, bắt đầu cử động hông liên tục."
Text/188b/text,あぁんっ…！あっ…んんっ！んんっ…これ、気持ちいいですぅ…！,Aaaa...! À...mmnh! Mmnh... Cảm giác... thật tuyệt...
Text/188c/text,ちんぽが突き入れられる度に、微妙に違う部分が刺激される。,"Mỗi lần con cặc của tôi lao vào, nó lại chạm vào một điểm hơi khác."
Text/188d/text,ひゃうっ！今の、そこが…あぁん…っ…！,"Chà ư! Chỗ đó, chỗ vừa nãy... a ưn...!"
Text/188e/text,怜奈は気持ちよかった場所を探るように、調節した動きで腰を振りながらピストンに夢中になっている。,"điều chỉnh cử động dò tìm chỗ sướng, say mê nhấp."
Text/188f/text,ここだったような…？ぎこちなく腰を動かす怜奈に合わせて角度を調整し、弱い部分を亀頭で突き上げる。,"Ngay tại đây phải không? Tôi bắt chước chuyển động hông vụng về của cô ấy, kéo quy đầu của mình qua điểm yếu của cô ấy."
Text/1890/text,…んあぁんっ！そこ、そこですぅ…！,"...Ư a ưn! Chỗ đó, chỗ đó cơ...!"
Text/1891/text,あぁんっ！あっ！ああっ！いいです…！そこ、いいですぅっ…！,Aaaah! À! Aaa! Tốt quá...! Chỗ đó cảm giác thật tuyệt!
Text/1892/text,震えながら腰を動かす怜奈のおまんこから、ちんぽが抜けないように動きを合わせてあげる。,"Chân cô ấy run rẩy khi cô ấy di chuyển, nên tôi điều chỉnh nhịp điệu của mình để không tuột ra khỏi âm hộ Reina."
Text/1893/text,私の弱いところ、どうしてっ…！…私より分かってるんですかぁ…！はぁんっ！,Sao anh biết điểm yếu của em... hơn cả em...! Haa ưn!
Text/1894/text,いつもこうやって…私を気持ちよくしてくれるから…今度は…んうっ…！…私が、気持ちよくしてあげたかったのに…！はぁっ…腰が…勝手にぃっ…！,"Anh luôn... làm điều này vì em, và lần này, ngh, anh muốn làm cho em cảm thấy dễ chịu...! Nhưng hông của em sẽ không cúi xuống...!"
Text/1895/text,彼女の腰使いはさらに激しくなり、ついに勢いよく飛び出したちんぽが、彼女のクリトリスを強く叩いた。その瞬間。,Chuyển động của cô ấy ngày càng dữ dội hơn cho đến khi cuối cùng con cặc của tôi cũng bung ra và cào mạnh vào âm vật của cô ấy. Trong khoảnh khắc đó—
Text/1896/text,ひゃあああんっ…！,Chà a a a ưn...!
Text/1897/text,透明な水柱が天井へと噴き上がり、噴水のように吹き出す。,Cột nước trong suốt phun lên trần như đài phun.
Text/1898/text,はうぅぅんっ…！,Hư ư ư ưm...!
Text/1899/text,何度かの痙攣の後、彼女は脚から力が抜けて、僕の胸に倒れ込んでくる。,"Sau vài cơn co giật, sức lực ở chân cô ấy cạn kiệt và cô ấy ngã gục vào vòng tay tôi."
Text/189a/text,んうっ…はぁ…はぁ…ふぅ…,Ự... haa... haa... phù...
Text/189b/text,…,...
Text/189c/text,ご…ごめんなさい…私、先にイってしまって…,em... em xin lỗi... em đã nói xong trước.
Text/189d/text,怜奈は紅潮した顔を両手で覆い隠す。,che khuôn mặt đỏ bừng của mình bằng cả hai tay.
Text/189e/text,また…一人で気持ちよくなっちゃって…！うぅ…っ…,Lại... một mình em sướng mất rồi...! Ự ư...!
Choice/189f/text,僕もすごく気持ちよかったよ。,Anh cũng sướng lắm.
Text/18a0/text,え…それは、でも…,"Ơ... nhưng, mà..."
Text/18a1/text,怜奈は今にも泣きそうな顔で僕を見上げる。,ngước nhìn tôi mặt rưng rưng.
Text/18a2/text,…うぅ…ダメです。今度こそは絶対に！,...Ự ư... Không được. Lần này nhất định!
Text/18a3/text,そのまま楽にしていてください…、私がいっぱい…気持ちよくしてさしあげますから…,Hãy cứ thoải mái... em sẽ làm anh sướng thật nhiều...
