key,en,jp,vi
DESTINATION_HINT_ENGINE_ROOM_INFO,"A page from Konial's notebook.
""Afternoon Schedule - Tea time with 45 in the Engine Room""
""Let's see, there are 4 Routes to get there? First, the two at the beginning are...""
'[color=#ADFF2F]Roulette[/color] and [color=#ADFF2F]hot spring[/color]? Are those the Terminals? Was there something there?'
""...The Routes to the Engine Room are written here. Mistress Konial, please refrain from recording important information on paper...""
""Shut it! You want me to ask you every single time? ...Whatever, just tell me the last two numbers.""
""Y-yes, um, that's... The last two numbers are... the date you took me in, Mistress Konial.""
""Hah? How am I supposed to know that?!""
""D-don't worry, I [color=#ADFF2F]wrote the date on this poster[/color] so you wouldn't forget...!""
""*Sigh*... From now on, your place is right next to that poster. You're not allowed to move from there.""","コニアルがいつも持ち歩いている手帳の1ページ。
『午後の予定――機関室で45とティータイム。』
『ええと、向かう路線は全部で4つ？ まず前の2つは……』
『[color=#ADFF2F]ルーレット[/color]と[color=#ADFF2F]温泉[/color]？ 終点のことか？ ここに何かあったか？』
『……機関室へ向かう路線が書かれています。コニアル様、重要な情報は紙に記録しないほうが……』
『うるさい！ じゃあ毎回執事のお前に聞けと言うのか？ ……もういい、最後の番号2つ教えろ。』
『は、はい、そ、それは……最後の番号2つは……コニアル様がわたくしを拾ってくださった日付でございます。』
『はあ？ そんなの私が覚えてるわけないだろう？』
『ご、ご心配なく。お忘れにならないよう、[color=#ADFF2F]このポスターに日付を書いておきました[/color]……！』
『はぁ……これからお前の席はそのポスターの横だ。絶対離れるんじゃないぞ。』","Một trang trong cuốn sổ tay mà Konial luôn mang theo bên mình.\n""Lịch trình buổi chiều - Uống trà với 45 ở Phòng động cơ""\n""Xem nào, có tổng cộng 4 tuyến đường để đến đó? Trước tiên, hai tuyến ở đầu là...""\n""[color=#ADFF2F]Vòng quay[/color] và [color=#ADFF2F]suối nước nóng[/color]? Đó là các ga cuối sao? Ở đó có thứ gì à?""\n""...Các tuyến đường đến Phòng động cơ được ghi ở đây. Cô Konial, xin đừng ghi chép những thông tin quan trọng ra giấy...""\n""Ồn ào quá! Bộ muốn ta lần nào cũng phải hỏi quản gia nhà ngươi chắc? ...Được rồi, nói cho ta biết hai số cuối đi.""\n""V-vâng, ừm, đó là... Hai số cuối là... ngày cô nhận nuôi tôi, thưa cô Konial.""\n""Hả? Làm sao ta biết được chuyện đó?!""\n""Đ-đừng lo lắng, tôi đã [color=#ADFF2F]viết ngày tháng lên bức áp phích này[/color] để cô không quên rồi...!""\n""Hầy... Từ giờ trở đi, chỗ của ngươi sẽ là ngay cạnh bức áp phích đó. Tuyệt đối không được rời đi đâu cả."""
TICKET_ITEM,Ticket,チケット,Vé
ROUTE_INFO_CONDENSATION,If you were to breathe on one of the glass windows near the entrance...,いずれかのドアの窓ガラスに、息を吹きかけてみますと……,Nếu thử hà hơi lên ô cửa kính của lối ra vào...
TICKET_ITEM_DESCRIPTION,"Lust manifested in the form of a Ticket.
Can be exchanged for various items with the Butler.","情念がチケットの形に変換されたもの。
執事の景品ショップで様々な景品と交換できます。",Điểm Dục vọng được hiện thực hóa dưới hình dạng chiếc Vé.\nCó thể dùng để đổi lấy nhiều vật phẩm khác nhau từ Quản gia.
NOTI_MAX_COST_UP,Max Equipment Cost increased by +,最大装着コスト上昇 +,Tăng giới hạn trang bị tối đa +
QUEST_GOAL_TEXT_6,Head to the Terminal where Pazuzu is trapped.,パズズが閉じ込められた終着点へ移動しよう,Hãy di chuyển đến ga cuối nơi Pazuzu đang bị giam giữ
QUEST_GOAL_TEXT_7,"Equip the Copper Bracelet, then proceed with exploration.",銅の腕輪を装備して探索を進めよう,Hãy trang bị Vòng tay đồng và tiến hành thám hiểm
QUEST_GOAL_TEXT_4,Find Pazuzu's Wallet at a Special Terminal.,特別な終着点でパズズの財布を見つけよう,Tìm chiếc ví của Pazuzu tại ga cuối đặc biệt
DESTINATION_HINT_CAT_INFO,"Multiple incidents of small animals entering gaps under the train and being electrocuted.
External barrier installation - PENDING
Equipment inspection - PENDING
Accident history inquiry - NO DATA
Memo - Unable to inspect all cars due to staff shortage. [color=#ADFF2F]Priority inspection and report on accident sites: cars 7, 22, 24, and 32[/color].","『車両下部の隙間に小動物が入り込み、感電する事故が数回発生。』
『外部遮断幕の設置 - 保留。』
『設備点検 - 保留。』
『事故履歴照会 - 資料なし。』
『メモ - 当直人員不足により全車両の点検は不可。[color=#ADFF2F]事故発生現場である7番、22番、24番、32番車両を優先して点検後、報告すること。[/color]』","Đã xảy ra vài vụ tai nạn do thú nhỏ chui vào khe hở dưới gầm tàu và bị điện giật.\nLắp rào chắn bảo vệ bên ngoài - TẠM HOÃN\nKiểm tra thiết bị - TẠM HOÃN\nTruy xuất lịch sử tai nạn - KHÔNG CÓ DỮ LIỆU\nGhi chú - Do thiếu nhân viên trực ban nên không thể kiểm tra toàn bộ toa tàu. [color=#ADFF2F]Ưu tiên kiểm tra và báo cáo các toa xảy ra tai nạn: toa số 7, số 22, số 24 và số 32[/color]."
DESTINATION_HINT_ROULLET_INFO,"Train 45 x [color=#ADFF2F]Shining Labyrinth[/color] Pachinko Collaboration Campaign
Board Train 45 now and experience a special journey with your [color=#ADFF2F]favorite characters[/color]!
In-train stamp rally, character voice announcements, and limited goods giveaway events!
All staff will wear special uniforms during the campaign period!
...Don't tell me that ""special uniform"" is...
Yep. [color=#ADFF2F]Bunny girl[/color]. And [color=#ADFF2F]slingshot bikini[/color] as an optional extra.
Are they insane? This is a train, not a hostess club.
Company policy, nothing we can do. If you don't like it, take unpaid leave.","45番電車×[color=#ADFF2F]シャイニング・ラビリンス[/color] パチンコ コラボ記念キャンペーン
今45番電車にご乗車いただくと、あの[color=#ADFF2F]人気キャラクター[/color]との特別な旅体験をお楽しみ頂けます！
車内スタンプラリー、キャラクターボイス案内放送、限定グッズプレゼントイベントも実施中！
キャンペーン期間中、全従業員が特別衣装で勤務実施！
「……その特別衣装って、まさか……」
「うん。[color=#ADFF2F]バニーガール[/color]。あと追加オプションで[color=#ADFF2F]スリングショットビキニ[/color]も可だって。」
「頭おかしいんですか？ここは電車であって風俗店じゃないんですよ…？」
「会社の方針だから仕方ないでしょ。嫌なら無給休暇とれって言われたし。」","Chiến dịch kỷ niệm sự kiện liên kết máy Pachinko giữa Tuyến tàu số 45 × [color=#ADFF2F]Mê cung tỏa sáng[/color] (Shining Labyrinth)!\nNếu lên tàu số 45 ngay bây giờ, bạn có thể trải nghiệm hành trình đặc biệt cùng các [color=#ADFF2F]nhân vật được yêu thích[/color]!\nSự kiện thu thập dấu đóng trên tàu, thông báo bằng giọng nói của nhân vật, và tặng quà giới hạn!\nTrong suốt thời gian chiến dịch, toàn bộ nhân viên sẽ mặc trang phục đặc biệt khi làm việc!\n""...Trang phục đặc biệt đó, không lẽ là...""\n""Đúng vậy. [color=#ADFF2F]Nữ hoàng thỏ[/color] (Bunny Girl). Và tùy chọn bổ sung là có thể mặc cả [color=#ADFF2F]đồ bơi Slingshot Bikini[/color].""\n""Điên rồi sao? Đây là tàu điện chứ đâu phải hộp đêm.""\n""Chỉ thị của công ty nên đành chịu thôi. Không thích thì xin nghỉ không lương đi."""
QUEST_GOAL_TEXT_5,"After meeting the conditions, talk to Butler.",条件を満たして執事と会話しよう,Hãy nói chuyện với Quản gia sau khi đáp ứng các điều kiện
ROUTE_TITLE_DOLL,Doll,人形,Búp bê
CHAPTER_DESCRIPTION_1,Help Konial explore the train,コニアルを手伝って電車を探索しよう。,Hãy giúp Konial thám hiểm tàu
QUEST_GOAL_TEXT_2,"After meeting the conditions above, reach the 7th car.",上記条件を満たして7番目の車両に到達しよう,Hãy đạt toa thứ 7 sau khi đáp ứng các điều kiện trên
CHAPTER_DESCRIPTION_2,Use the Exchange Shop and explore deeper Anomalies,交換ショップを利用して、より深層の異変を探索しよう。,Hãy sử dụng Cửa hàng trao đổi để thám hiểm các hiện tượng lạ ở khu vực sâu hơn
PAUSE_RESUME,Continue,続行,Tiếp tục
QUEST_GOAL_TEXT_3,Create an item to find Pazuzu.,パズズを見つける道具を作ろう,Tạo ra dụng cụ để tìm kiếm Pazuzu
CHAPTER_DESCRIPTION_3,Find the new passenger on the train,電車の新たな乗客を見つけ出そう。,Hãy tìm kiếm hành khách mới trên tàu
CHAPTER_DESCRIPTION_4,Find Pazuzu's Wallet,パズズの財布を見つけ出そう。,Hãy tìm chiếc ví của Pazuzu
QUEST_GOAL_TEXT_1,"After meeting the conditions above, reach the 5th car.",上記条件を満たして5番目の車両に到達しよう,Hãy đạt toa thứ 5 sau khi đáp ứng các điều kiện trên
CHAPTER_DESCRIPTION_5,Find where Pazuzu is trapped,パズズが閉じ込められている場所を見つけ出そう。,Hãy tìm nơi Pazuzu đang bị giam giữ
SHOP_EXIT,Exit,閉じる,Thoát
CHAPTER_DESCRIPTION_6,Interrogate Konial and escape the train,コニアルを尋問して電車から脱出しよう。,Hãy thẩm vấn Konial và trốn thoát khỏi con tàu
QUEST_GOAL_TEXT_8,"Head to the Engine Room, or finish any unfinished business.",機関室へ移動するか、やり残したことを片付けよう,Hãy di chuyển đến Phòng động cơ hoặc hoàn thành các việc chưa xong
ROUTE_TITLE_NOPANTIES,No Panties,ノーパン,Không quần lót
SAVE_OVERLAP_DESCRIPTION,The existing data will be overwritten.,既存のデータは上書きされます。,Dữ liệu lưu trữ cũ sẽ bị ghi đè.
DESTINATION_HINT_DARK_ROOM_INFO,"Notes written based on what Pazuzu told me.
""A sensation as if the trains were [color=#ADFF2F]heading in reverse[/color]... The only thing visible in the darkness is a [color=#ADFF2F]green light[/color]...
And [color=#ADFF2F]my whole body is bound, it's agonizing[/color]... The only sound I can hear is [color=#ADFF2F]birds chirping outside[/color] ...""","パズズから聞いた情報を記したノート。
『電車がまるで[color=#ADFF2F]逆方向に進んでいる[/color]ような感覚に……闇の中に見えるのは[color=#ADFF2F]緑色の光[/color]だけ……
そして全身を[color=#ADFF2F]縛られていて苦しい[/color]です……聞こえるのは[color=#ADFF2F]外の鳥[/color]の声だけです……』","Cuốn sổ tay ghi chép thông tin nghe được từ Pazuzu:\n""Có cảm giác như đoàn tàu đang [color=#ADFF2F]chạy lùi[/color]... Thứ duy nhất nhìn thấy trong bóng tối là [color=#ADFF2F]ánh sáng màu xanh lá[/color]...\nVà [color=#ADFF2F]toàn thân tôi bị trói chặt vô cùng đau đớn[/color]... Chẳng nghe được gì ngoài tiếng [color=#ADFF2F]chim hót ngoài trời[/color]..."""
DESTINATION_HINT_TICKET_CHECK_INFO,"What a hassle~ Might as well punch them all at once~ 
...I just need to remember [color=#ADFF2F]which holes I punched[/color].","めんどくさいから、まとめてチェックしちゃおっかな～ 
…[color=#ADFF2F]穴を開けた場所[/color]だけ、ちゃんと覚えておけばいいよね","Phiền phức quá, kiểm tra một lượt luôn cho xong~\n...Chỉ cần nhớ kỹ [color=#ADFF2F]những vị trí đã bấm lỗ[/color] là được đúng không nhỉ?"
SHOP_TITLE,Exchange Shop,交換ショップ,Cửa hàng trao đổi
ROUTE_INFO_VIBRATOR,To think someone would discard such a thing in the corner by the entrance...,ドアの隅に、あのような物を捨てるなど……,Vứt thứ đó ở góc lối ra vào thật là...
ROUTE_TITLE_OUTFIT,Fashion,ファッション,Trang phục
RETURN_BASE_CONFIRM,Return,帰還,Trở về
MAGNET_TICKET_DESCRIPTION,Draws in Tickets from the floor while holding the detection key.,探知キーを押している間、床に落ちたチケットを引き寄せます。,Hút các Vé rơi trên sàn khi đang giữ phím Thám hiểm.
SCENE_SYUYU_HJ,Nursing Handjob,授乳手コキ,Vừa bú vừa quay
MORE_FRIENDLY_MAI,You need to get a little closer to Mai...,舞とはもう少し仲良くならないといけない気がする…,Có vẻ bạn cần phải thân thiết hơn nữa với Mai...
ANOMALY_FINDER,Dim Red Light,暗い提灯,Đèn lồng đỏ tối tăm
ROUTE_INFO_FLOOD,"The water rises ceaselessly, so please proceed quickly.",水は絶えず満ちてまいります。急いで先へお進みくださいませ。,"Nước đang dâng lên không ngừng, xin hãy tiến lên thật nhanh."
TUTO_INVEN_1,Speak to the Butler at the starting point to exchange your collected Tickets for Items at the Exchange Shop.,開始地点にいる執事に話しかけると、集めたチケットを景品と交換できます。,Bạn có thể nói chuyện với Quản gia tại điểm xuất phát để đổi Vé lấy các vật phẩm trong Cửa hàng trao đổi.
QUEST_PROCESS_TICKET,Hold %d+ Tickets,チケットを%d枚以上所持,Sở hữu từ %d Vé
TUTO_INVEN_3,"Equipping Items requires cost. Exploring more Anomalies increases your maximum cost, allowing you to equip multiple Items at once.",景品の装着にはコストが必要です。異変を探索するほどコストの上限が増加し、一度により多くの景品を装着できるようになります。,"Để trang bị vật phẩm cần có điểm trang bị (Cost), thám hiểm càng nhiều hiện tượng lạ thì điểm trang bị tối đa sẽ tăng lên, giúp bạn trang bị nhiều vật phẩm cùng lúc."
TUTO_INVEN_2,"Acquired items can be equipped from the Inventory.
Items must be equipped for their effects to activate during exploration.","入手した景品は、インベントリを開いて装着できます。
景品は装着しなければ探索時に効果が発生しません。",Các vật phẩm thu được có thể được trang bị bằng cách mở Túi đồ.\nVật phẩm phải được trang bị mới có thể phát huy hiệu quả khi thám hiểm.
ROUTE_INFO_BONDAGE,They say it's the preference of the woman in the ad by the corridor...,通路入口の広告に映っているものは、彼女の趣味とのことでございます……,Nghe nói đó là sở thích của cô gái trong ảnh quảng cáo ở lối vào hành lang...
ITEM_PERCENT,Item,景品,Vật phẩm
NOTI_ITEM_TICKET_BONUS,Ticket + %d,チケット + %d,Vé + %d
OPTION_VO_LANGUAGE,Voice,音声,Giọng nói
MAIN_START,Start Game,ゲーム開始,Bắt đầu
SCENE_DOG,Puppy Costume,犬コスプレ,Hóa trang Cún con
DESTINATION_D_REINABIKINI,Changing Room,脱衣所,Phòng thay đồ
SCENE_HANDJOB,Handjob,手コキ,Handjob
QUEST_GOAL_TEXT_4_2,Find the Butler after meeting the conditions.,条件を満たした後、執事に会おう。,Hãy gặp Quản gia sau khi đáp ứng các điều kiện
ROUTE_TITLE_BRA,Bra,ブラ,Áo ngực
SCENE_WINDOW_DOGGY,Doggy Style - Against Glass,ガラス押し付け後背位,Tư thế từ phía sau sát cửa kính
ROUTE_INFO_BUTTON,Please press the button next to the door only in case of emergency.,ドア横のボタンは、緊急時にのみ押してくださいませ。,Chỉ nhấn chiếc nút bên cạnh lối ra vào trong trường hợp khẩn cấp.
NOTI_DONT_KANKAN_ON_2,Please unequip the Bracelet to use this.,使用するにはブレスレットを外してください。,Vui lòng tháo chiếc Vòng tay ra để sử dụng tính năng này.
OPTION_NEXT,Next,次へ,Tiếp theo
NOTI_DONT_KANKAN_ON_1,Unavailable due to the Bracelet's holy power...,ブレスレットの神聖力により利用できません。,Không thể sử dụng do thần lực của chiếc Vòng tay...
DESTINATION_D_STUCKDOOR,Faulty Door,扉故障車両,Toa cửa hỏng
DARUMA_CHAN_MSG,"No Anomaly here!
Move to the next car!","ここには異変はないわ！
次の車両へ行きなさい！",Ở đây không có hiện tượng lạ nào cả!\nHãy đi sang toa tiếp theo!
BASE_H_SCENE_EXIT,Press ESC to go back.,ESCを押して戻ります,Nhấn ESC để quay lại trang trước
MAGNET_TICKET,Crude Fan,粗末なうちわ,Chiếc quạt thô sơ
TICKET_NUM,Tickets,チケット数,Số lượng vé
ROUTE_TITLE_GIANTKONIAL,Giant Konial,巨大コニアル,Konial khổng lồ
DESTINATION_HINT_DOGSTRAP_INFO,"A large dog collar, sized for a big breed.",大型犬が着けるような、首回りの大きな首輪だ。,"Một chiếc vòng cổ cho chó có chu vi lớn, kích cỡ dành cho giống chó lớn."
MAIN_OPTION,Settings,設定,Cài đặt
QUEST_PROCESS_COLLECT_DEST,Visit %d+ Terminals,終点%dヶ所以上訪問,Ghé thăm từ %d ga cuối
LOVE_BRACELET,Copper Bracelet,銅の腕輪,Vòng tay đồng
ROUTE_TITLE_PRIORITYSEAT,Priority Seat,優先席,Ghế ưu tiên
NOTI_FIND_ROUTE_VALUE,Anomalies Found: %d,発見した異変 : %d個,Hiện tượng lạ đã phát hiện: %d
"<!MissingKey:368:D, Right Key>","D, Right Key",D、右キー,"Phím D, mũi tên Phải"
ROUTE_TITLE_SWAY,Jiggle,たゆんたゆん,Rung rinh
ROUTE_INFO_WINDOWGHOST,They say that there is something visible only from a certain window.,特定の窓からしか見えない、何かがあるそうでございます。,Nghe nói có thứ gì đó chỉ có thể nhìn thấy qua một ô cửa sổ nhất định.
ALREADY_ITEM_GET,Already obtained.,既に獲得済みです。,Đã nhận vật phẩm này rồi.
CHARGE_TIME_UP,Cute Massager,可愛いマッサージ器,Máy mát-xa dễ thương
ROUTE_TITLE_REVERSE,Reverse,逆走,Chạy ngược
ROUTE_TITLE_CROW,Crow,カラス,Quạ
DESTINATION_HINT_DOGSTRAP_TITLE,Dog Collar,犬の首輪,Vòng cổ cho chó
ROUTE_INFO_EXTENSION,It was just a bit longer than usual. Please do continue walking.,少々長かっただけでございます。そのまま歩き続けてください。,"Chỉ là hành lang hơi dài một chút thôi, xin hãy tiếp tục bước đi."
NOTI_PARTNER_CHANGE,Partner has been changed.,パートナーが変更されました。,Bạn đồng hành đã được thay đổi.
SCENE_SITTING,Sitting,座位,Tư thế ngồi
HORIZON_FINDER_DESCRIPTION,"Displays the height level of Anomalies as Top, Middle, or Bottom.
Shows a random height if no Anomaly is present.","異変が存在する高さを上・中・下に分けて表示します。
異変が存在しない場合、ランダムな高さを表示します。","Hiển thị chiều cao xuất hiện của Hiện tượng lạ được chia thành Trên, Giữa, Dưới.\nHiển thị ngẫu nhiên nếu không có Hiện tượng lạ nào tồn tại."
ROUTE_INFO_YUKIONNA,"I'm not fond of the cold, so... I've never once visited that car.",わたくし、寒さが苦手でして……その車両には一度も訪れたことがございません。,Tôi rất ghét cái lạnh... nên chưa từng ghé thăm toa đó một lần nào cả.
ROUTE_INFO_BUTTOCKS,I do wonder what that large butt advertisement up above is trying to sell...,上の方にある大きなお尻の看板は、一体何を宣伝しているのでしょうか……,Chiếc biển quảng cáo mông lớn ở phía trên kia rốt cuộc là quảng cáo cho cái gì thế nhỉ...
GHOST_ANO_H,Broken Key,歯の欠けた鍵,Chiếc chìa khóa mẻ răng
FREE_H_EDGE_BLUR,Edge Blur : Q,縁ぼかし調整：Q,Điều chỉnh độ mờ viền: Phím Q
ROUTE_INFO_HUG,It seems to really hate talismans.,お札を大変嫌っているようでございます。,Có vẻ nó rất ghét những chiếc bùa chú.
ROUTE_TITLE_FLASHLIGHT,Torch,懐中電灯,Đèn pin
ROUTE_APP_MSG_USECOIN,Spend Coins to unlock this Route?,コインを使用して車両をアンロックしますか？,Bạn có muốn dùng Xu để mở khóa tuyến đường này không?
OPTION_BG_VOLUME,BGM,BGM,Nhạc nền
SCENE_CAT,Cat Costume,猫コスプレ,Hóa trang Mèo con
ROUTE_INFO_VEIL,Taking up three whole seats... That's just inconsiderate...,座席を三つ分も占領しているとは、いささかご迷惑かと存じます…,"Chiếm dụng tận ba chiếc ghế liền, thật là phiền phức quá đi..."
TUTO_TITLE_INVEN,Inventory,インベントリ,Túi đồ
TUTO_TITLE_BASE_H_EVENT,H Event,Hイベント,Sự kiện H
DESTINATION_D_GHOST,Break Room,休憩室,Phòng nghỉ
DESTINATION_D_SNOWMAN,Strong AC Car,強冷房車両,Toa điều hòa cực mạnh
ROUTE_INFO_CAUTIONSTICKER,It looks like it would be quite the ordeal to peel off...,剥がす時に、苦労しそうでございますね……,Bóc cái này ra chắc hẳn sẽ tốn công sức lắm đây...
QUEST_PROCESS_TOTAL_LOVE,Reina & Mai combined Affection %d+,怜奈と舞の好感度合計%d以上,Tổng điểm Thiện cảm Reina và Mai đạt từ %d trở lên
MAIN_EXIT,Quit,終了,Thoát game
DESTINATION_HINT_LOCKER_TITLE,Padlock,南京錠,Ổ khóa
EQUIP_COST_DESCRIPTION,"The cost required to equip items.
The more you have, the more Items you can bring on exploration.","景品を装着するのに必要なコスト。
多いほど、探索に多くの景品を持っていくことができます。",Điểm trang bị cần thiết để trang bị vật phẩm.\nĐiểm càng cao thì bạn càng mang được nhiều vật phẩm khi thám hiểm.
ROUTE_TITLE_DESTROYED,Half Destroyed,半壊,Hỏng một phần
INVENTORY_BACK,Back,戻る,Thoát
SCENE_BUNNYGIRL,Bunny Girl,バニーガール,Bunny Girl
ROUTE_INFO_DOLL,"If it begins to follow you, you absolutely must run.",あれがついて来はじめたら、必ずお逃げくださいませ。,"Nếu thứ đó bắt đầu bám theo bạn, hãy lập tức bỏ chạy."
SCENE_WALL_LEAN_NUDE,Against the Wall - Naked,壁寄り - 全裸,Tư thế tựa tường - Khỏa thân
TUTO_TITLE_ERO_GAGE,Passion Gauge,情念ゲージ,Thanh Dục vọng
ROUTE_INFO_TENTACLE2,"As for Mistress Konial, who can control them...",それを制御できるコニアル様は……,"Về cô Konial, người có thể chế ngự chúng..."
DIALOG_HIDE,Hide (H),非表示 (H),Ẩn (H)
ROUTE_INFO_TENTACLE3,"For now, detection is our only option.",今のところ、それらを探知するほかございません。,Hiện tại chúng ta không còn cách nào khác ngoài việc thám hiểm và phát hiện ra chúng.
DESTINATION_HINT_REINABIKINI_INFO,There are some suspicious stains on this black bikini.,黒いビキニに、奇妙なシミがついている。,Có vết ố kỳ lạ xuất hiện trên bộ bikini màu đen.
ROUTE_INFO_TENTACLE1,"That is... its lust, overflowing uncontrollably.",それは……情念を抑えきれずに、溢れ出しております。,Thứ đó... Điểm Dục vọng đang tràn trề không thể kiểm soát nổi.
DESTINATION_HINT_TICKET_CHECK_TITLE,Validated Ticket,検札済みチケット,Vé đã kiểm
COLLECT_AREA_UP_DESCRIPTION,Increases item pickup range.,アイテムの獲得範囲を拡大します。,Mở rộng phạm vi hút vật phẩm.
TUTO_GHOST_H,"Some Anomaly Events can be ""purified"" to extract Tickets.
After detecting an Anomaly, hold the Detection key nearby to initiate a sex scene.
Try to find other Anomalies that can be purified!","一部の異常現象は『浄化』することでチケットを入手できます。
異常現象を感知した後、近くで感知キーを長押しするとエッチが可能です。
これ以外にも、浄化可能な異常現象を探してみてください！","Một số hiện tượng lạ có thể rút được Vé thông qua việc ""thanh tẩy"".\nSau khi phát hiện hiện tượng lạ, hãy đứng gần đó và giữ phím Thám hiểm để bắt đầu phân cảnh H.\nNgoài ra, hãy tìm kiếm các hiện tượng lạ khác có thể thanh tẩy được nhé!"
OPTION_TAB_VOLUME,Sound,サウンド,Âm lượng
ROUTE_INFO_GAZE,Did you perhaps feel a persistent gaze coming from beneath the seats?,椅子の下から、執拗な視線を感じませんでしたか？,Bạn có cảm nhận được ánh mắt kiên trì từ dưới gầm ghế không?
PAUSE_OPTION,Settings,設定,Cài đặt
PAUSE_MAIN_EXIT,Main Menu,タイトル画面,Menu chính
NOTI_UNEQUIP_ITEM,I think I need a certain item for this...,何か景品が必要な気がする……,Có vẻ cần một vật phẩm nào đó...
LOVE_LEVEL,Affection,好感度,Thiện cảm
ROUTE_INFO_SWAY,"People in photographs don't jiggle. Normally, that is.",写真の中の人物は揺れたりいたしません。一般的には…でございますが。,Nhân vật trong ảnh thì không thể rung rinh được. Thường là như thế.
LEAD_AGAIN,Replay,もう一度見る,Xem lại
DESTINATION_D_ONSEN,Hot Spring Car,温泉車両,Toa suối nước nóng
ROUTE_INFO_SLINGSHOT,The original design of the white swimsuit in the corridor entrance advertisement was...,通路入口の広告にある、白い水着の元のデザインは……,Thiết kế gốc của bộ đồ bơi màu trắng trên biển quảng cáo ở hành lang là...
NOTE_PLACEHOLDER,Click here to jot down anything important!,ここをクリックして大事なことをメモできるよ！,Nhấp vào đây để ghi chú những điều quan trọng!
DESTINATION_HINT_STUCKDOOR_INFO,"At approximately 2:00 PM today, a temporary malfunction occurred in some doors of this train.
Investigation revealed that an external inspection contractor carelessly connected the ""open"" and ""close"" control wires in reverse,
resulting in door operations that appeared natural enough to go unnoticed on-site.
While some passengers were aboard at the time,
fortunately, thanks to the remarkable effectiveness of
our ongoing ""Do Not Lean on Doors"" campaign,
no accidents occurred.
Accordingly,
the scheduled ""[color=#ADFF2F]March-July Odd Months[/color] Accident-Free Operation Commemorative Event""
will proceed as originally planned without any changes.","本日午後2時頃、本電車の一部のドアにおいて一時的な動作不良が発生いたしました。調査の結果、外部業者が『開』と『閉』の制御線を逆に接続するというミスが確認されましたが、これは現場でも即座に認知されないほど自然な開閉動作へとつながりました。
当時、列車には若干名のお客様が乗車されておりましたが、幸いにも当社が継続的に展開してまいりました「ドアに寄りかからない」キャンペーンの驚くべき効果もあり、いかなる深刻な事故も発生しませんでした。
つきましては、予定されておりました「[color=#ADFF2F]3月～7月の奇数月[/color] 無事故運行記念行事」は当初の計画通り変更なく実施されます。","Khoảng 2 giờ chiều nay, một sự cố vận hành tạm thời đã xảy ra ở một số cửa ra vào của đoàn tàu.\nKết quả điều tra xác nhận rằng nhà thầu kiểm tra bên ngoài đã vô tình đấu nối ngược dây điều khiển ""Mở"" và ""Đóng"",\ndẫn đến hành động đóng mở cửa diễn ra tự nhiên đến mức nhân viên tại hiện trường không phát hiện ra ngay lập tức.\n\nLúc đó trên tàu có một số hành khách,\nnhưng rất may nhờ vào hiệu quả đáng kinh ngạc của chiến dịch\n""Không tựa vào cửa ra vào"" mà công ty chúng tôi liên tục thúc đẩy,\nđã không có bất kỳ tai nạn nào xảy ra.\n\nVì lý do này,\n""Lễ kỷ niệm vận hành an toàn các tháng lẻ từ tháng 3 đến tháng 7"" dự kiến\nvẫn sẽ được diễn ra như kế hoạch ban đầu mà không có thay đổi nào."
CHARGE_TIME_UP_DESCRIPTION,Reduces the time required for detection.,感知に必要な時間を短縮します。,Rút ngắn thời gian cần thiết để thám hiểm.
ROUTE_TITLE_BONDAGE,Bondage,ボンデージ,Bondage
SPEED_UP_DESCRIPTION,Increases movement speed.,移動速度が増加します。,Tăng tốc độ di chuyển.
SAVE_GAME,Save,セーブ,Lưu game
GHOST_ANO_H_DESCRIPTION,"After a successful detection, you can purify certain Ghosts.",感知に成功すると、一部の幽霊を浄化できるようになります。,"Sau khi phát hiện thành công, bạn sẽ có thể thanh tẩy một số oan hồn."
ROUTE_INFO_FLASHLIGHT,"An old flashlight, but it'll come in handy.",古い懐中電灯ではございますが、大いに役立つかと存じます。,Tuy là một chiếc đèn pin cũ kỹ nhưng nó sẽ giúp ích rất nhiều đấy.
TICKET_BONUS,Cheap Charm,安物のお守り,Bùa hộ mệnh rẻ tiền
ROUTE_INFO_BUNNYGIRL,"I believe it was definitely a bunny girl outfit normally, but...",普段は確か、バニーガールの衣装だった気がいたしますが……,"Thông thường ở đó chắc chắn là quảng cáo trang phục Nữ hoàng thỏ, nhưng..."
SCENE_TENTACLES,Tentacles,触手責め,Xúc tu quấn thân
DESTINATION_D_MIRROR,Penalty Car,懲罰車両,Toa trừng phạt
DESTINATION_D_MILK,Nursing Center,授乳室,Toa cho bú
HINT_PARTIAL_NEEDED,Any {n} of these,{n}個以上の一致で到達,Đến nơi khi khớp từ {n} mục
QUEST_PROCESS_LOVE_LEVEL,Affection %d+,好感度%d以上,Điểm Thiện cảm đạt từ %d trở lên
DESTINATION_HINT_ENGINE_ROOM_TITLE,Konial's Memo,コニアルのメモ,Ghi chú của Konial
DESTINATION_HINT_REINABIKINI_TITLE,Black Bikini,黒いビキニ,Bikini đen
ROUTE_CLOSE,Closed,閉鎖,Đã đóng cửa
ROUTE_INFO_NOPANTIES,Please take careful note of what the bikini model in the center is wearing.,中央のビキニモデルの装いを、よく記憶しておいてください。,Hãy ghi nhớ kỹ trang phục của cô người mẫu bikini ở giữa nhé.
DESTINATION_HINT_SNOWMAN_TITLE,Lover's Letter,恋人の手紙,Bức thư của người yêu
H_LOCKED,Locked,ロック中,Đang khóa
